GL_account,GL_account_description,account_id,partition_ledger_year_month,amount_usd
59610,"JPMorgan Chase, Sydney",784028,202011,41913616.34
59610,"JPMorgan Chase, Sydney",784028,202012,33825704.96
59610,"JPMorgan Chase, Sydney",784028,202101,-35705663.31
59610,"JPMorgan Chase, Sydney",784028,202102,17554234.91
59610,"JPMorgan Chase, Sydney",784028,202103,8556874.01
59610,"JPMorgan Chase, Sydney",784028,202104,-47646461.24
59610,"JPMorgan Chase, Sydney",784028,202105,-19278355.29
59610,"JPMorgan Chase, Sydney",784028,202106,263590827.6
59610,"JPMorgan Chase, Sydney",784028,202107,-9437896.56
59610,"JPMorgan Chase, Sydney",784028,202108,-30915376.63
59610,"JPMorgan Chase, Sydney",784028,202109,31196821.93
59610,"JPMorgan Chase, Sydney",784028,202110,-19086235.94
59610,"JPMorgan Chase, Sydney",784028,202111,11626549.77
59610,"JPMorgan Chase, Sydney",784028,202112,-28966200.5
59610,"JPMorgan Chase, Sydney",784028,202201,158866841
59610,"JPMorgan Chase, Sydney",784028,202202,-3992847.35
59610,"JPMorgan Chase, Sydney",784028,202203,-12830050.32
59610,"JPMorgan Chase, Sydney",784028,202204,-36093629.63
59610,"JPMorgan Chase, Sydney",784028,202205,60112736.88
59610,"JPMorgan Chase, Sydney",784028,202206,-10608535.87
59610,"JPMorgan Chase, Sydney",784028,202207,34517219.06
59610,"JPMorgan Chase, Sydney",784028,202208,-2936842.52
59610,"JPMorgan Chase, Sydney",784028,202209,13705269.65
59610,"JPMorgan Chase, Sydney",784028,202210,-38897384.7
59610,"JPMorgan Chase, Sydney",784028,202211,-8506900.56
59610,"JPMorgan Chase, Sydney",784028,202212,-44669955.52
59610,"JPMorgan Chase, Sydney",784028,202301,74255835.69
59610,"JPMorgan Chase, Sydney",784028,201802,-2437389.05
59610,"JPMorgan Chase, Sydney",784028,202303,-61029417.88
59610,"JPMorgan Chase, Sydney",784028,202304,5749834.37
59610,"JPMorgan Chase, Sydney",784028,202305,-441802.11
